행정구역,2020년11월_계_총인구수,2020년11월_계_연령구간인구수,2020년11월_계_0세,2020년11월_남_총인구수,2020년11월_남_연령구간인구수,2020년11월_남_0세,2020년11월_여_총인구수,2020년11월_여_연령구간인구수,2020년11월_여_0세
서울특별시 강북구 수유1동(1130561500),"21,228",81,81,"10,510",47,47,"10,718",34,34
서울특별시 강북구 수유2동(1130562500),"21,456",75,75,"10,275",39,39,"11,181",36,36
서울특별시 강북구 수유3동(1130563500),"23,516",47,47,"11,668",20,20,"11,848",27,27
서울특별시 강북구 우이동(1130564500),"20,959",71,71,"10,205",36,36,"10,754",35,35
서울특별시 강북구 인수동(1130566000),"31,429",93,93,"15,210",45,45,"16,219",48,48
서울특별시 도봉구 (1132000000),"326,082","1,192","1,192","159,076",622,622,"167,006",570,570
서울특별시 도봉구 창제1동(1132051100),"25,364",102,102,"12,089",54,54,"13,275",48,48
서울특별시 도봉구 창제2동(1132051200),"29,683",133,133,"14,517",77,77,"15,166",56,56
서울특별시 도봉구 창제3동(1132051300),"14,362",38,38,"7,176",18,18,"7,186",20,20
서울특별시 도봉구 창제4동(1132051400),"27,261",119,119,"13,105",70,70,"14,156",49,49
서울특별시 도봉구 창제5동(1132051500),"25,254",117,117,"12,137",55,55,"13,117",62,62
서울특별시 도봉구 도봉제1동(1132052100),"21,662",54,54,"10,972",23,23,"10,690",31,31
서울특별시 도봉구 도봉제2동(1132052200),"27,904",131,131,"13,660",71,71,"14,244",60,60
서울특별시 도봉구 쌍문제1동(1132066000),"21,879",80,80,"10,539",36,36,"11,340",44,44
서울특별시 도봉구 쌍문제2동(1132067000),"19,304",69,69,"9,293",29,29,"10,011",40,40
서울특별시 도봉구 쌍문제3동(1132068000),"16,812",62,62,"8,156",32,32,"8,656",30,30
서울특별시 도봉구 쌍문제4동(1132068100),"19,300",50,50,"9,125",33,33,"10,175",17,17
서울특별시 도봉구 방학제1동(1132069000),"29,043",80,80,"14,438",36,36,"14,605",44,44
서울특별시 도봉구 방학제2동(1132070000),"20,326",51,51,"10,275",28,28,"10,051",23,23
서울특별시 도봉구 방학제3동(1132071000),"27,928",106,106,"13,594",60,60,"14,334",46,46
서울특별시 노원구 (1135000000),"523,708","2,173","2,173","252,792","1,133","1,133","270,916","1,040","1,040"
서울특별시 노원구 월계1동(1135056000),"22,567",88,88,"11,623",54,54,"10,944",34,34
서울특별시 노원구 월계2동(1135057000),"27,572",124,124,"13,306",63,63,"14,266",61,61
서울특별시 노원구 월계3동(1135058000),"30,667",182,182,"14,703",84,84,"15,964",98,98
서울특별시 노원구 공릉1동(1135059500),"37,798",158,158,"18,390",80,80,"19,408",78,78
서울특별시 노원구 공릉2동(1135060000),"39,817",192,192,"19,406",97,97,"20,411",95,95
서울특별시 노원구 하계1동(1135061100),"27,549",78,78,"13,278",46,46,"14,271",32,32
서울특별시 노원구 하계2동(1135061200),"22,767",64,64,"10,851",36,36,"11,916",28,28
서울특별시 노원구 중계본동(1135061900),"25,016",47,47,"12,232",27,27,"12,784",20,20
서울특별시 노원구 중계1동(1135062100),"27,536",39,39,"13,420",19,19,"14,116",20,20
